id_candidato,nombre,estado_postulacion
1,Candidato_1,Cerrada
2,Candidato_2,Activa
3,Candidato_3,Cerrada
4,Candidato_4,Activa
5,Candidato_5,Cerrada
6,Candidato_6,Activa
7,Candidato_7,Cerrada
8,Candidato_8,Activa
9,Candidato_9,Cerrada
10,Candidato_10,Activa
11,Candidato_11,Cerrada
12,Candidato_12,Activa
13,Candidato_13,Cerrada
14,Candidato_14,Activa
15,Candidato_15,Cerrada
16,Candidato_16,Activa
17,Candidato_17,Cerrada
18,Candidato_18,Activa
19,Candidato_19,Cerrada
20,Candidato_20,Activa
21,Candidato_21,Cerrada
22,Candidato_22,Activa
23,Candidato_23,Cerrada
24,Candidato_24,Activa
25,Candidato_25,Cerrada
26,Candidato_26,Activa
27,Candidato_27,Cerrada
28,Candidato_28,Activa
29,Candidato_29,Cerrada
30,Candidato_30,Activa
31,Candidato_31,Cerrada
32,Candidato_32,Activa
33,Candidato_33,Cerrada
34,Candidato_34,Activa
35,Candidato_35,Cerrada
36,Candidato_36,Activa
37,Candidato_37,Cerrada
38,Candidato_38,Activa
39,Candidato_39,Cerrada
40,Candidato_40,Activa
41,Candidato_41,Cerrada
42,Candidato_42,Activa
43,Candidato_43,Cerrada
44,Candidato_44,Activa
45,Candidato_45,Cerrada
46,Candidato_46,Activa
47,Candidato_47,Cerrada
48,Candidato_48,Activa
49,Candidato_49,Cerrada
50,Candidato_50,Activa
51,Candidato_51,Cerrada
52,Candidato_52,Activa
53,Candidato_53,Cerrada
54,Candidato_54,Activa
55,Candidato_55,Cerrada
56,Candidato_56,Activa
57,Candidato_57,Cerrada
58,Candidato_58,Activa
59,Candidato_59,Cerrada
60,Candidato_60,Activa
61,Candidato_61,Cerrada
62,Candidato_62,Activa
63,Candidato_63,Cerrada
64,Candidato_64,Activa
65,Candidato_65,Cerrada
66,Candidato_66,Activa
67,Candidato_67,Cerrada
68,Candidato_68,Activa
69,Candidato_69,Cerrada
70,Candidato_70,Activa
71,Candidato_71,Cerrada
72,Candidato_72,Activa
73,Candidato_73,Cerrada
74,Candidato_74,Activa
75,Candidato_75,Cerrada
76,Candidato_76,Activa
77,Candidato_77,Cerrada
78,Candidato_78,Activa
79,Candidato_79,Cerrada
80,Candidato_80,Activa
81,Candidato_81,Cerrada
82,Candidato_82,Activa
83,Candidato_83,Cerrada
